mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07872028350830078,0.007731662501763392,0.009540081024169922,0.00804647610416835,0.6,200,1,3,0.01,0.6,"{'subsample': 0.6, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7991200502828409,0.7366297229529507,0.7400556702882285,0.7833914424445986,0.7521865889212828,0.7622766949779803,0.024724953966589625,246,0.7972083748753739,0.8096561283707515,0.8148821884602203,0.7955327550872346,0.7989336502815999,0.803242619415036,0.007629338041968083
0.05893993377685547,0.015931367791724275,0.005257177352905274,0.0029600185980447604,0.8,200,1,3,0.01,0.6,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7991200502828409,0.7452543329006929,0.7484396622327657,0.7996049258185179,0.76062424969988,0.7706086441869394,0.02403196879567224,85,0.8050844164494945,0.8173414548158362,0.8168858584142777,0.8007561877531826,0.8168860029350286,0.8113907840735639,0.0070522147746035525
0.04405531883239746,0.009366873562703168,0.004389905929565429,0.0012708718794833555,1.0,200,1,3,0.01,0.6,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7928790034053192,0.7392729656880601,0.7484396622327657,0.793313982211136,0.7644060845691244,0.767662339621281,0.022270868753700494,139,0.8076122894160286,0.8112422462194997,0.8232620843940007,0.7991858732496894,0.8124352053286064,0.810747539721565,0.0077872807084878835
0.06528081893920898,0.010020973803283076,0.003735208511352539,0.0014670703680597504,0.6,300,1,3,0.01,0.6,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7928790034053192,0.7537578009276122,0.7484396622327657,0.7808049328105626,0.7689508719409052,0.768966454263433,0.01652036410580703,110,0.8078192171705785,0.826545674767956,0.836604585719225,0.8132955324043429,0.8204485036444995,0.8209427027413204,0.010076082516338958
0.06278729438781738,0.010695397142570994,0.004013156890869141,0.0018214475008939365,0.8,300,1,3,0.01,0.6,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7866660366660365,0.7560743467720211,0.756715412965413,0.787048152594371,0.7689508719409052,0.7710909641877493,0.013667113893794033,74,0.8237859051447977,0.8317274132851017,0.8362648937771029,0.8140206221965386,0.823631897240234,0.825886146328755,0.0076435870266255744
0.053696823120117185,0.008485828770907164,0.0036364078521728517,0.001745423962128165,1.0,300,1,3,0.01,0.6,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7946412460335274,0.7477301667432696,0.7668076814418278,0.787048152594371,0.76062424969988,0.7713702993025751,0.017219076495690603,68,0.8137244539211004,0.8181855301923787,0.8335968870771238,0.7986701937513405,0.8184753186179442,0.8165304767119774,0.011177186105193969
0.069114351272583,0.0019254764664885782,0.0026961326599121093,6.373880706265234e-05,0.6,400,1,3,0.01,0.6,"{'subsample': 0.6, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7928790034053192,0.7663159006588415,0.7729613108253885,0.7808049328105626,0.7627954730117933,0.7751513241423811,0.010786675360331196,27,0.8249462662736429,0.8288833258094963,0.8369376747897914,0.823631897240234,0.8302090151954912,0.8289216358617312,0.004684027996306769
0.0704270362854004,0.008778921241074223,0.004271221160888672,0.0015203285254973171,0.8,400,1,3,0.01,0.6,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.8008883008883009,0.7643105900819149,0.7729613108253885,0.7808049328105626,0.7627954730117933,0.7763521215235921,0.013871772934264323,12,0.82975072176744,0.8324482565217987,0.8404825079465352,0.8208784626421041,0.8275594539952124,0.830223880574618,0.006400736965341594
0.07009339332580566,0.0054276204511977885,0.004065322875976563,0.001320303224730267,1.0,400,1,3,0.01,0.6,"{'subsample': 1.0, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.8008883008883009,0.7500263834202128,0.7729613108253885,0.7808049328105626,0.76062424969988,0.7730610355288688,0.017433321123831263,45,0.8197797006221794,0.8340550056842431,0.8391399982496572,0.8074493942973261,0.8224716412199664,0.8245791480146745,0.01115988333917159
0.0864295482635498,0.008917675884972847,0.002852344512939453,0.00016663515062193893,0.6,500,1,3,0.01,0.6,"{'subsample': 0.6, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.7822205480742067,0.7663159006588415,0.7606737171954563,0.7745818947467062,0.7852909919484121,0.7738166105247245,0.009293756494431695,38,0.8308435512923458,0.8366918085201234,0.8375844006162495,0.8298654025273059,0.8318084908665424,0.8333587307645134,0.0031590633647383287
